year,globe,nh,sh,shnext
1992,0.07,0.052,0.088,0.123
1993,0.104,0.085,0.123,0.105
1994,0.169,0.232,0.105,0.154
1995,0.27,0.386,0.154,0.147
1996,0.138,0.13,0.147,0.287
1997,0.347,0.408,0.287,0.457
1998,0.526,0.595,0.457,0.219
1999,0.302,0.385,0.219,0.192
2000,0.277,0.363,0.192,0.329
2001,0.406,0.484,0.329,0.375
2002,0.455,0.534,0.375,0.371
2003,0.465,0.558,0.371,0.299
2004,0.444,0.589,0.299,0.328
2005,0.475,0.621,0.328,0.286
2006,0.421,0.556,0.286,0.214
2007,0.398,0.583,0.214,NA
